,region,year,accidents,deaths,injuries,driving_licenses
0,Al-Baaha,2016,3618.0,185.0,1227.0,
1,Al-Baaha,2017,1414.0,134.0,1007.0,
2,Al-Jouf,2016,10212.0,245.0,920.0,9371.0
3,Al-Jouf,2017,10469.0,240.0,862.0,8091.0
4,Asir,2016,32684.0,983.0,2541.0,
5,Asir,2017,25245.0,828.0,2368.0,
6,Eastern Region,2016,101619.0,1113.0,4893.0,
7,Eastern Region,2017,81433.0,963.0,4073.0,
8,Hail,2016,10199.0,299.0,932.0,54507.0
9,Hail,2017,9379.0,265.0,773.0,22035.0
10,Jazan,2016,25873.0,514.0,2259.0,11504.0
11,Jazan,2017,22161.0,466.0,2207.0,18345.0
12,Madinah,2016,14475.0,822.0,4184.0,24540.0
13,Madinah,2017,16070.0,580.0,2917.0,36165.0
14,Makkah,2016,134838.0,2243.0,12383.0,136055.0
15,Makkah,2017,145541.0,1641.0,10623.0,142487.0
16,Najran,2016,3235.0,173.0,706.0,2153.0
17,Najran,2017,3193.0,194.0,766.0,13825.0
18,Northern Boarder,2016,13196.0,193.0,631.0,4958.0
19,Northern Boarder,2017,11540.0,112.0,374.0,5280.0
20,Qassim,2016,25664.0,397.0,1513.0,
21,Qassim,2017,22405.0,319.0,1446.0,
22,Riyadh,2016,141736.0,1430.0,4207.0,242851.0
23,Riyadh,2017,99925.0,1399.0,4540.0,495307.0
24,Tabouk,2016,16031.0,434.0,1724.0,13610.0
25,Tabouk,2017,11713.0,348.0,1243.0,10232.0
26,Makkah,2012,,,,143954.0
27,Makkah,1994,,,,75349.0
28,Makkah,1998,,,,86082.0
29,Makkah,2004,,,,86636.0
30,Makkah,2005,,,,65099.0
31,Makkah,2008,,,,77013.0
32,Madinah,2014,,,,31447.0
33,Madinah,2013,,,,28513.0
34,Madinah,2012,,,,14459.0
35,Madinah,1994,,,,3767.0
36,Madinah,1998,,,,13020.0
37,Madinah,2000,,,,9562.0
38,Madinah,2007,,,,12174.0
39,Madinah,2004,,,,10556.0
40,Al-Qaseem,1995,,,,49690.0
41,Al-Qaseem,1996,,,,42693.0
42,Eastern,2015,,,,135752.0
43,Assir,2015,,,,38567.0
44,Assir,1995,,,,4889.0
45,Assir,1996,,,,3319.0
46,Assir,1998,,,,13220.0
47,Tabouk,2010,,,,10345.0
48,Tabouk,2013,,,,12848.0
49,Tabouk,1996,,,,2263.0
50,Tabouk,1998,,,,6823.0
51,Tabouk,2001,,,,6344.0
52,Tabouk,2007,,,,11045.0
53,Hail,2007,,,,4021.0
54,Hail,2004,,,,8656.0
55,Hail,2005,,,,16247.0
56,Hail,2009,,,,7282.0
57,Northern Boarder,2012,,,,3706.0
58,Northern Boarder,1993,,,,1510.0
59,Northern Boarder,2000,,,,2894.0
60,Northern Boarder,2005,,,,1804.0
61,Jazan,2010,,,,12270.0
62,Jazan,1993,,,,6009.0
63,Jazan,1997,,,,5695.0
64,Jazan,2000,,,,5678.0
65,Jazan,2001,,,,10631.0
66,Jazan,2008,,,,11346.0
67,Najran,2010,,,,6360.0
68,Najran,2013,,,,8996.0
69,Najran,1995,,,,3268.0
70,Najran,1999,,,,3959.0
71,Najran,2003,,,,4443.0
72,Najran,2009,,,,6771.0
73,Al-Baha,2015,,,,4856.0
74,Al-Baha,2016,,,,4614.0
75,Al-Baha,2011,,,,6450.0
76,Al-Baha,1994,,,,2729.0
77,Al-Baha,1996,,,,1468.0
78,Al-Jouf,2010,,,,10937.0
79,Al-Jouf,1996,,,,2518.0
80,Al-Jouf,2000,,,,4666.0
81,Al-Jouf,2001,,,,4756.0
82,Riyadh,2011,,,,27772.0
83,Riyadh,2013,,,,165994.0
84,Riyadh,1999,,,,100291.0
85,Riyadh,2005,,,,23245.0
86,Makkah,2015,,,,157389.0
87,Makkah,2013,,,,131108.0
88,Riyadh,1997,,,,92145.0
89,Riyadh,2001,,,,13090.0
90,Makkah,2014,,,,149234.0
91,Makkah,2010,,,,113531.0
92,Makkah,1997,,,,76623.0
93,Makkah,1999,,,,103535.0
94,Makkah,2000,,,,87053.0
95,Makkah,2006,,,,66967.0
96,Makkah,2009,,,,112045.0
97,Madinah,2010,,,,15045.0
98,Madinah,1995,,,,4155.0
99,Madinah,1996,,,,3425.0
100,Madinah,1999,,,,11108.0
101,Madinah,2003,,,,12920.0
102,Al-Qaseem,2015,,,,13631.0
103,Al-Qaseem,2014,,,,29113.0
104,Al-Qaseem,2017,,,,6318.0
105,Al-Qaseem,2010,,,,36737.0
106,Al-Qaseem,2013,,,,17889.0
107,Al-Qaseem,1994,,,,68916.0
108,Al-Qaseem,2003,,,,10666.0
109,Al-Qaseem,2000,,,,12226.0
110,Al-Qaseem,2006,,,,12142.0
111,Al-Qaseem,2007,,,,25174.0
112,Eastern,2017,,,,126816.0
113,Eastern,2011,,,,151087.0
114,Eastern,2012,,,,129971.0
115,Assir,2012,,,,23136.0
116,Assir,1997,,,,12204.0
117,Assir,2003,,,,15693.0
118,Assir,2008,,,,18800.0
119,Tabouk,2011,,,,12820.0
120,Tabouk,1994,,,,3282.0
121,Tabouk,2003,,,,9873.0
122,Tabouk,2008,,,,14928.0
123,Tabouk,2009,,,,9424.0
124,Hail,2014,,,,10417.0
125,Hail,2010,,,,7637.0
126,Hail,1995,,,,9735.0
127,Hail,2002,,,,5070.0
128,Hail,2001,,,,6077.0
129,Hail,2008,,,,7413.0
130,Northern Boarder,2011,,,,4314.0
131,Northern Boarder,1999,,,,2311.0
132,Northern Boarder,1998,,,,2014.0
133,Northern Boarder,2001,,,,2971.0
134,Northern Boarder,2006,,,,2573.0
135,Northern Boarder,2004,,,,1922.0
136,Jazan,2014,,,,15621.0
137,Jazan,2011,,,,10946.0
138,Jazan,1994,,,,3826.0
139,Jazan,1999,,,,4792.0
140,Jazan,2009,,,,9437.0
141,Najran,2012,,,,9201.0
142,Najran,2000,,,,4905.0
143,Najran,2006,,,,5897.0
144,Najran,2007,,,,7226.0
145,Al-Baha,2014,,,,7268.0
146,Al-Baha,2012,,,,7593.0
147,Al-Baha,1993,,,,3270.0
148,Al-Baha,1995,,,,2423.0
149,Al-Baha,1998,,,,5110.0
150,Al-Baha,2002,,,,3335.0
151,Al-Baha,2003,,,,3616.0
152,Al-Baha,2005,,,,2698.0
153,Al-Jouf,2014,,,,9982.0
